94,1,3
94,9,3
94,121,3
94,130,3
94,231,3
94,257,4
94,340,3
94,344,3
94,416,4
134,39,5
134,42,5
134,44,5
134,45,5
134,76,2
134,80,5
134,95,5
134,108,3
134,110,3
134,117,5
134,130,5
134,147,5
134,151,5
134,152,5
134,162,5
134,163,5
134,166,5
134,181,4
134,241,5
134,258,5
134,339,5
134,340,5
134,344,5
134,358,5
134,381,5
134,392,5
134,402,4
134,421,5
184,1,5
184,9,5
184,17,5
184,21,4
184,30,1
184,31,4
184,39,5
184,41,2
184,42,3
184,44,3
184,45,4
184,49,3
184,76,1
184,80,3
184,95,3
184,108,3
184,110,3
184,117,3
184,121,5
184,130,4
184,147,3
184,151,4
184,152,1
184,162,4
184,163,5
184,166,5
184,181,3
184,182,4
184,198,3
184,219,5
184,220,4
184,231,4
184,241,1
184,254,3
184,257,1
184,258,2
184,276,3
184,283,3
184,291,3
184,339,3
184,340,2
184,344,4
184,354,2
184,358,2
184,366,3
184,381,3
184,392,3
184,405,3
184,416,3
184,421,4
204,44,5
204,45,5
204,95,5
204,110,5
204,147,5
204,152,2
204,162,5
204,219,5
204,392,5
204,402,3
204,421,2
214,76,3
214,95,4
214,110,4
214,151,2
214,152,1
214,276,4
214,339,5
214,402,1
224,1,3
224,17,3
224,21,3
224,41,4
224,42,4
224,44,4
224,45,3
224,76,2
224,95,4
224,110,3
224,147,3
224,151,2
224,152,2
224,162,5
224,166,5
224,291,5
224,339,4
224,340,4
224,344,5
224,354,4
224,358,2
224,392,3
224,421,2
234,39,3
234,41,2
234,42,4
234,44,5
234,45,5
234,49,5
234,76,1
234,80,3
234,95,5
234,108,3
234,110,4
234,117,5
234,130,4
234,147,4
234,151,3
234,152,5
234,162,5
234,166,5
234,219,4
234,220,4
234,276,5
234,291,5
234,339,5
234,340,3
234,344,3
234,354,5
234,358,5
234,366,4
234,381,5
234,392,5
234,402,3
234,405,4
234,416,4
234,421,2
