Tecnica LM
Grupo: [234, 94, 254]
Recomendacao Standard
1,415,Igreja Nossa Senhora da Luz,tourist_attraction,Praça Nossa Senhora da Luz  s/n - Pituba  Salvador - BA  41830-001
2,409,Igreja de Nossa Senhora Da Ajuda,tourist_attraction,Comercio  Salvador - BA  40301-110
3,418,Igreja e Convento de Nossa Senhora da Piedade,tourist_attraction,Praça da Piedade  SN - Barris  Salvador - BA  40060-300
4,410,Igreja Nossa Senhora do Carmo de Salvador,tourist_attraction,R. do Carmo  1 - Santo Antônio Além do Carmo  Salvador - BA  40301-380
5,407,Igreja Nossa Senhora dos Mares,tourist_attraction,Uruguai  Salvador - BA  40410-400
6,254,Praca Orungan,park,Praca Santos Dumont  1-17 - Barra  Salvador - BA  41830-650  Brazil
7,406,Igreja Nossa Senhora do Rosario dos Pretos,tourist_attraction,Largo do Pelourinho  s/n - Pelourinho  Salvador - BA  40026-280
8,412,Paroquia de SantAna do Rio Vermelho,tourist_attraction,R. Guedes Cabral  143 - Rio Vermelho  Salvador - BA  41950-620
9,189,Museum of Mercy,museum,R. da Misericordia  06 - Centro Historico  Salvador - BA  40020-200  Brazil
10,198,Child Museum,museum,480  R. do Mangalo  152 - Patamares  Salvador - BA  41680-048  Brazil

Recomendacao Diversificada
1,415,Igreja Nossa Senhora da Luz,tourist_attraction,Praça Nossa Senhora da Luz  s/n - Pituba  Salvador - BA  41830-001
2,254,Praca Orungan,park,Praca Santos Dumont  1-17 - Barra  Salvador - BA  41830-650  Brazil
3,189,Museum of Mercy,museum,R. da Misericordia  06 - Centro Historico  Salvador - BA  40020-200  Brazil
4,46,Blue Beach Bar,bar,R. Barro Vermelho  310 - Rio Vermelho  Salvador - BA  41940-340  Brazil
5,420,MIni Zoo (animais domesticos),zoo,Stella Maris  Salvador - State of Bahia  41600-090  Brazil
6,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil
7,263,Restaurante Itapua,restaurant,R. Flor do Bosque  126 - Itapua  Salvador - BA  41610-190  Brazil
8,221,Salvador,night_club,R. Ari Barroso  303 - Chame-Chame  Salvador - BA  40157-300  Brazil
9,412,Paroquia de SantAna do Rio Vermelho,tourist_attraction,R. Guedes Cabral  143 - Rio Vermelho  Salvador - BA  41950-620
10,148,McDonalds,fast-food,Rodovia  BA-526  305  Salvador - BA  41510-000  Brazil
