Tecnica AV
Grupo: [444, 474, 484]
Recomendacao Standard
1,85,Farol da Barra,beach,Farol da Barra  Salvador - State of Bahia  Brazil
2,349,Shopping Capemi Salvador,shopping_mall,R. da Alfazema  752 - Caminho das arvores  Salvador - BA  41820-710  Brazil
3,378,Forte de Santo Antonio alem do Carmo,tourist_attraction,Largo de Santo Antonio Alem do Carmo  s/n - Santo Antonio  Salvador - BA  40301-330  Brazil
4,260,Porto Brasil,restaurant,Rua Miguel Navarro Y Canizares  428 - Pituba  Salvador - BA  41810-215  Brazil
5,261,Cathedrall,restaurant,Alameda Praia de Camburiu  16 - Stella Maris  Salvador - BA  41600-250  Brazil
6,262,Paraiso Tropical,restaurant,Rua Edgard Loureiro  98 - B - Cabula  Salvador - BA  40342-100  Brazil
7,263,Restaurante Itapua,restaurant,R. Flor do Bosque  126 - Itapua  Salvador - BA  41610-190  Brazil
8,264,Casa di Vina Restaurante,restaurant,R. Flamengo  44 - Itapua  Salvador - BA  41635-480  Brazil
9,265,Mokeka Brasil,restaurant,Av. Octavio Mangabeira  Salvador - BA  41706-690  Brazil
10,266,Beach Stop,restaurant,R. Jose Augusto Tourinho Dantas  214 - Stella Maris  Salvador - BA  41603-110  Brazil

Recomendacao Diversificada
1,85,Farol da Barra,beach,Farol da Barra  Salvador - State of Bahia  Brazil
2,349,Shopping Capemi Salvador,shopping_mall,R. da Alfazema  752 - Caminho das arvores  Salvador - BA  41820-710  Brazil
3,378,Forte de Santo Antonio alem do Carmo,tourist_attraction,Largo de Santo Antonio Alem do Carmo  s/n - Santo Antonio  Salvador - BA  40301-330  Brazil
4,260,Porto Brasil,restaurant,Rua Miguel Navarro Y Canizares  428 - Pituba  Salvador - BA  41810-215  Brazil
5,57,Bar e Restaurante Aconchego,bar,Caminho 18 | Mussurunga I Gleba A  S/N - Mussurunga I  Salvador - BA  41490-330  Brazil
6,4,Midlej Galeria de Arte,art_gallery,Alameda das Cajazeiras  138 - Caminho das arvores  Salvador - BA  41820-470  Brazil
7,128,Casa de Noca,cafe,R. Espirito Santo  106 - Pituba  Salvador - BA  41830-001  Brazil
8,261,Cathedrall,restaurant,Alameda Praia de Camburiu  16 - Stella Maris  Salvador - BA  41600-250  Brazil
9,40,Panificadora Rey Do Pao,bakery,Rua J  37 - Mussurunga I  Salvador - BA  41490-476  Brazil
10,245,MONTE DE ITAPUa,park,Itapua  Salvador - State of Bahia  41600-090  Brazil
