Tecnica LM
Grupo: [864, 854, 844]
Recomendacao Standard
1,119,Cafeteria Toxerina | Salvador | Bahia,cafe,R. Antonio Carlos Magalhaes - Saboeiro  Salvador - BA  41192-065  Brazil
2,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil
3,343,Shopping salvador,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-908  Brazil
4,83,Ondina Beach,beach,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil
5,79,Salvador Beach Club,beach,Salvador Beach Club - Av. Octavio Mangabeira  2012 - Patamares  Salvador - BA  41680-000  Brazil
6,84,Stella Maris beach,beach,Stella Maris beach  State of Bahia  41600-090  Brazil
7,342,Shopping Paralela,shopping_mall,Av. Luis Viana Filho  8544 - Alphaville  Salvador - BA  41730-101  Brazil
8,341,Shopping da Bahia,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-972  Brazil
9,420,MIni Zoo (animais domesticos),zoo,Stella Maris  Salvador - State of Bahia  41600-090  Brazil
10,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil

Recomendacao Diversificada
1,119,Cafeteria Toxerina | Salvador | Bahia,cafe,R. Antonio Carlos Magalhaes - Saboeiro  Salvador - BA  41192-065  Brazil
2,83,Ondina Beach,beach,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil
3,342,Shopping Paralela,shopping_mall,Av. Luis Viana Filho  8544 - Alphaville  Salvador - BA  41730-101  Brazil
4,420,MIni Zoo (animais domesticos),zoo,Stella Maris  Salvador - State of Bahia  41600-090  Brazil
5,359,Mercado Modelo,tourist_attraction,Praca Visc. de Cayru  s/n - Comercio  Salvador - BA  40015-170  Brazil
6,43,Alerta Praia Bar,bar,R. Aristides Milton  516 - Itapua  Salvador - BA  41301-110  Brazil
7,164,Cinema e Video,movie_theater,Patamares  Salvador - State of Bahia  41741-590  Brazil
8,319,Divino Fogao - Salvador Norte,restaurant,Rodovia  BA-526  305 - Sao Cristovao  Salvador - BA  41510-000  Brazil
9,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil
10,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil
