PoiId;nome;latitude;longitude;tipo;endereco
70;Fabio Pena Cal Galeria de Arte;-12.983205;-38.4589308;art_gallery;Alameda das Espatódeas  479 - Caminho das Árvores  Salvador - BA  41820-460  Brazil
71;Menelaw Sete Pintura's;-12.9728474;-38.5088416;art_gallery;Rua João de Deus  núm  13 - Pelourinho  Salvador - BA  40026-010  Brazil
72;Desenho Realista Ssa-Aulas & Encomendas;-12.8921177;-38.4540195;art_gallery;Conjunto Pirajá 1 Bloco 05 Conjunto - Pirajá  Salvador - BA  41290-540  Brazil
73;ZECA FERNANDES Galeria de Arte;-12.9848045;-38.4569999;art_gallery;Alameda dos Mulungús  83 - Caminho das Árvores  Salvador - BA  41820-490  Brazil
74;D&L GALLERY;-12.9340858;-38.3358251;art_gallery;quadra 697  R. Euler de Pereira Cardoso - Stella Maris  Salvador - BA  41600-045  Brazil
75;Sandra Bravo Caligrafia e Plastificação;-13.0088016;-38.4848574;art_gallery;Rua Rodrigo Argollo  455 - Rio Vermelho  Salvador - BA  41940-220  Brazil
76;Ateliê 29;-12.967597;-38.5071375;art_gallery;Centro Histórico  R. do Carmo  72 - Santo Antonio  Salvador - BA  40301-380  Brazil
77;Galeria Sunset Boulevar;-13.0043808;-38.5312846;art_gallery;Condomínio Edifício Daniel - R. César Zama  129 - Barra  Salvador - BA  40140-030  Brazil
78;Aleluia Artes;-12.9167089;-38.3646467;art_gallery;16 41490 350 - R. Dr. Artur Couto  09 - Mussurunga I  Salvador - BA  41490-350  Brazil
79;Galeria Fundação Pierre Verger;-12.973877;-38.511772;art_gallery;R. da Misericórdia  09 - Loja 01 - Centro  Salvador - BA  40020-200  Brazil
80;Roberto Alban Gallery;-13.0096193;-38.5087891;art_gallery;R. Senta Púa  53 - Ondina  Salvador - BA  40170-180  Brazil
81;House Cupcake;-12.9514518;-38.348341;bakery;R. do Gato Arisco  145 - Itapuã  Salvador - BA  41620-320  Brazil
82;JH Decorated Cakes;-12.8962796;-38.4298689;bakery;Caminho 7 - Cajazeiras 6  Salvador - BA  41336-100  Brazil
83;Padaria Portugal;-12.9495448;-38.3648894;bakery;Praça Dorival Caymmi  50 - Itapuã  Salvador - BA  41620-500  Brazil
84;Paula Cake Design;-12.947428;-38.376274;bakery;R. Juíz Orlando Heleno de Melo  19 - Piatã  Salvador - BA  41650-465  Brazil
85;Sara Bolos Decorados 46 2° Andar;-12.8689242;-38.4740835;bakery;R. Cambuí  54 - Periperi  Salvador - BA  40720-500  Brazil
