userId,poiId,distance
864,39,11410
864,42,20527
864,76,3833
864,80,22531
864,95,25022
864,108,20649
864,110,15051
864,117,14135
864,152,14900
864,162,14366
864,163,20789
864,166,14170
864,182,24708
864,219,15677
864,257,8320
864,283,19635
864,339,11319
864,344,14401
864,354,19206
864,358,22633
864,366,5474
864,381,22489
864,392,24755
864,402,18833
864,416,20512
864,421,22606
854,39,1968639
854,42,1969647
854,76,1966485
854,80,1972128
854,95,1976354
854,108,1970246
854,110,1973187
854,117,1960328
854,152,1967746
854,162,1968438
854,163,1969909
854,166,1960362
854,182,1976040
854,219,1972264
854,257,1961234
854,283,1968755
854,339,1968548
854,344,1969185
854,354,1970537
854,358,1972505
854,366,1967595
854,381,1972086
854,392,1976086
854,402,1970165
854,416,1969631
854,421,1973986
844,39,10255
844,42,7022
844,76,19545
844,80,11191
844,95,6137
844,108,9310
844,110,4376
844,117,30734
844,152,9363
844,162,10055
844,163,4933
844,166,30769
844,182,5823
844,219,5235
844,257,25090
844,283,6271
844,339,10165
844,344,8886
844,354,4734
844,358,9269
844,366,28622
844,381,11149
844,392,5870
844,402,4025
844,416,7006
844,421,3769
