Tecnica AWM
Grupo: [864, 854, 844]
Recomendacao Standard
1,119,Cafeteria Toxerina | Salvador | Bahia,cafe,R. Antonio Carlos Magalhaes - Saboeiro  Salvador - BA  41192-065  Brazil
2,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil
3,343,Shopping salvador,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-908  Brazil
4,83,Ondina Beach,beach,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil
5,79,Salvador Beach Club,beach,Salvador Beach Club - Av. Octavio Mangabeira  2012 - Patamares  Salvador - BA  41680-000  Brazil
6,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil
7,84,Stella Maris beach,beach,Stella Maris beach  State of Bahia  41600-090  Brazil
8,342,Shopping Paralela,shopping_mall,Av. Luis Viana Filho  8544 - Alphaville  Salvador - BA  41730-101  Brazil
9,341,Shopping da Bahia,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-972  Brazil
10,78,Praia Do Flamengo,beach,Praia Do Flamengo - R. Godofredo Filho  n 1911 - Praia do Flamengo  Salvador - BA  41603-285  Brazil

Recomendacao Diversificada
1,119,Cafeteria Toxerina | Salvador | Bahia,cafe,R. Antonio Carlos Magalhaes - Saboeiro  Salvador - BA  41192-065  Brazil
2,83,Ondina Beach,beach,Ondina Beach - Ondina  Salvador - State of Bahia  40170-010  Brazil
3,342,Shopping Paralela,shopping_mall,Av. Luis Viana Filho  8544 - Alphaville  Salvador - BA  41730-101  Brazil
4,420,MIni Zoo (animais domesticos),zoo,Stella Maris  Salvador - State of Bahia  41600-090  Brazil
5,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil
6,285,Restaurante Yemanja,restaurant,Av. Octavio Mangabeira  4661 - Armacao  Salvador - BA  41750-240  Brazil
7,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil
8,360,Largo do Pelourinho,tourist_attraction,Largo do Pelourinho - Pelourinho  Salvador - BA  40026-280  Brazil
9,343,Shopping salvador,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-908  Brazil
10,78,Praia Do Flamengo,beach,Praia Do Flamengo - R. Godofredo Filho  n 1911 - Praia do Flamengo  Salvador - BA  41603-285  Brazil
