Tecnica LM
Grupo: [444, 474, 484]
Recomendacao Standard
1,148,McDonalds,fast-food,Rodovia  BA-526  305  Salvador - BA  41510-000  Brazil
2,149,Subway,fast-food,Campus FTC - Av. Luis Viana Filho  8812 - Loja 16 - Paralela  Salvador - BA  41730-101  Brazil
3,150,Bobs Shakes,fast-food,Praca Gago Coutinho  S/N - Sao Cristovao  Salvador - BA  41510-055  Brazil
4,153,TacoShake,fast-food,Rua das Hortensias  942 - Pituba  Salvador - BA  41810-010  Brazil
5,154,Tabuleiro,fast-food,Aeroporto Internacional de Salvador  Praca Gago Coutinho - Dep. Luis Eduardo Magalhaes  3003 - Sao Cristovao  Salvador - BA  41510-055  Brazil
6,155,Acaraje da Cira,fast-food,em frente ao Posto 12 - R. Aristides Milton  s/n - Itapua  Salvador - BA  41610-160  Brazil
7,156,Rei da Pamonha,fast-food,Itapua  Salvador - State of Bahia  Brazil
8,157,Burger King,fast-food,R. Portão da Piedade  155 - Dois de Julho  Salvador - BA  40070-900
9,158,Cazolla Gastro Burguer Beer.,fast-food,Av. Paulo VI  1828 - Pituba  Salvador - BA  41810-001
10,159,Croasonho,fast-food,Av. Luís Viana Filho  8544 - Loja E 122 - Patamares  Salvador - BA  41730-101

Recomendacao Diversificada
1,148,McDonalds,fast-food,Rodovia  BA-526  305  Salvador - BA  41510-000  Brazil
2,189,Museum of Mercy,museum,R. da Misericordia  06 - Centro Historico  Salvador - BA  40020-200  Brazil
3,149,Subway,fast-food,Campus FTC - Av. Luis Viana Filho  8812 - Loja 16 - Paralela  Salvador - BA  41730-101  Brazil
4,150,Bobs Shakes,fast-food,Praca Gago Coutinho  S/N - Sao Cristovao  Salvador - BA  41510-055  Brazil
5,153,TacoShake,fast-food,Rua das Hortensias  942 - Pituba  Salvador - BA  41810-010  Brazil
6,154,Tabuleiro,fast-food,Aeroporto Internacional de Salvador  Praca Gago Coutinho - Dep. Luis Eduardo Magalhaes  3003 - Sao Cristovao  Salvador - BA  41510-055  Brazil
7,155,Acaraje da Cira,fast-food,em frente ao Posto 12 - R. Aristides Milton  s/n - Itapua  Salvador - BA  41610-160  Brazil
8,157,Burger King,fast-food,R. Portão da Piedade  155 - Dois de Julho  Salvador - BA  40070-900
9,158,Cazolla Gastro Burguer Beer.,fast-food,Av. Paulo VI  1828 - Pituba  Salvador - BA  41810-001
10,188,Casa do Carnaval da Bahia,museum,Praca Ramos de Queiros  s/n - Pelourinho  Salvador - BA  40026-055  Brazil
