Tecnica AV
Grupo: [864, 854, 844]
Recomendacao Standard
1,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil
2,165,Cine Daten Paseo,movie_theater,Rua Rubens Guelli  135 - Itaigara  Salvador - BA  41815-135  Brazil
3,167,Orient Cinemas,movie_theater,Av. Luis Viana Filho  8.544 - Paralela  Salvador - BA  41730-101  Brazil
4,168,UCI Orient Shopping da Bahia,movie_theater,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-972  Brazil
5,169,UCI Orient Shopping Barra,movie_theater,Shopping Center Barra  Av. Centenario  2992 - Chame-Chame  Salvador - BA  40140-400  Brazil
6,170,UFBA Art Room,movie_theater,Av. Reitor Miguel Calmon  s/n  PAC Vale do - Canela  Salvador - BA  40110-100  Brazil
7,171,Rainha Cinema Digital,movie_theater,R. Frederico Sim̵es  98 - Caminho das arvores  Salvador - BA  41820-774  Brazil
8,172,Saladearte Film Museum,movie_theater,Av. Sete de Setembro  2195 - Vitoria  Salvador - BA  40080-001  Brazil
9,173,Room Walter da Silveira,movie_theater,R. Gen. Labatut  27 - Barris  Salvador - BA  40070-100  Brazil
10,174,Summer Lounge Drive In,movie_theater,Boca do Rio  Salvador - BA  41706-690 - Boca do Rio  Salvador - BA  41710-755  Brazil

Recomendacao Diversificada
1,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil
2,165,Cine Daten Paseo,movie_theater,Rua Rubens Guelli  135 - Itaigara  Salvador - BA  41815-135  Brazil
3,167,Orient Cinemas,movie_theater,Av. Luis Viana Filho  8.544 - Paralela  Salvador - BA  41730-101  Brazil
4,121,Coffeetown Salvador,cafe,Av. Sete de Setembro  1755 - Vitoria  Salvador - BA  40080-002  Brazil
5,170,UFBA Art Room,movie_theater,Av. Reitor Miguel Calmon  s/n  PAC Vale do - Canela  Salvador - BA  40110-100  Brazil
6,171,Rainha Cinema Digital,movie_theater,R. Frederico Sim̵es  98 - Caminho das arvores  Salvador - BA  41820-774  Brazil
7,172,Saladearte Film Museum,movie_theater,Av. Sete de Setembro  2195 - Vitoria  Salvador - BA  40080-001  Brazil
8,174,Summer Lounge Drive In,movie_theater,Boca do Rio  Salvador - BA  41706-690 - Boca do Rio  Salvador - BA  41710-755  Brazil
9,124,Ferreiro Cafe Salvador,cafe,Av. Tancredo Neves  2915 - 1035 - Caminho das arvores  Salvador - BA  41820-021  Brazil
10,175,Bahia Geological Museum,movie_theater,Av. Sete de Setembro  2195 - Vitoria  Salvador - BA  40080-002  Brazil
